t;Analityczne;MBE(stabline);MPE;MT
0.65;0.861376;0.862529;0.86362;0.864791
0.66;0.857973;0.859124;0.860239;0.861406
0.67;0.854553;0.855702;0.856839;0.858004
0.68;0.851117;0.852262;0.853422;0.854584
0.69;0.847664;0.848805;0.849988;0.851147
0.7;0.844195;0.845333;0.846538;0.847693
0.71;0.840712;0.841845;0.843073;0.844225
0.72;0.837214;0.838343;0.839594;0.840741
0.73;0.833703;0.834827;0.8361;0.837243
0.74;0.830178;0.831298;0.832594;0.833731
0.75;0.826641;0.827756;0.829074;0.830207
0.76;0.823093;0.824203;0.825542;0.82667
0.77;0.819533;0.820637;0.821999;0.823121
0.78;0.815963;0.817061;0.818445;0.819561
0.79;0.812382;0.813474;0.81488;0.81599
0.8;0.808792;0.809878;0.811305;0.81241
0.81;0.805193;0.806273;0.807721;0.808819
0.82;0.801586;0.802658;0.804129;0.80522
0.83;0.79797;0.799036;0.800528;0.801612
0.84;0.794347;0.795406;0.796919;0.797997
0.85;0.790718;0.791769;0.793303;0.794374
0.86;0.787081;0.788126;0.78968;0.790744
0.87;0.783439;0.784476;0.786051;0.787107
0.88;0.779792;0.780821;0.782417;0.783465
0.89;0.776139;0.777161;0.778777;0.779817
0.9;0.772482;0.773496;0.775132;0.776165
0.91;0.768821;0.769826;0.771483;0.772507
0.92;0.765157;0.766153;0.76783;0.768846
0.93;0.761489;0.762477;0.764173;0.765181
0.94;0.757818;0.758798;0.760514;0.761513
0.95;0.754145;0.755116;0.756851;0.757842
0.96;0.75047;0.751432;0.753187;0.754169
0.97;0.746794;0.747747;0.749521;0.750494
0.98;0.743116;0.74406;0.745853;0.746817
0.99;0.739438;0.740373;0.742184;0.743139
1;0.735759;0.736685;0.738515;0.739461
1.01;0.73208;0.732997;0.734845;0.735782
1.02;0.728402;0.729309;0.731176;0.732103
1.03;0.724724;0.725622;0.727507;0.728424
1.04;0.721048;0.721936;0.723838;0.724747
1.05;0.717372;0.718251;0.720171;0.72107
1.06;0.713699;0.714568;0.716505;0.717394
1.07;0.710028;0.710887;0.712842;0.713721
1.08;0.706359;0.707208;0.70918;0.710049
1.09;0.702692;0.703532;0.705521;0.70638
1.1;0.699029;0.699859;0.701864;0.702714
1.11;0.695369;0.696189;0.698211;0.69905
1.12;0.691713;0.692522;0.694561;0.69539
1.13;0.688061;0.68886;0.690914;0.691734
1.14;0.684413;0.685202;0.687272;0.688081
1.15;0.680769;0.681548;0.683634;0.684433
1.16;0.67713;0.677899;0.68;0.680789
1.17;0.673496;0.674255;0.676371;0.67715
1.18;0.669868;0.670616;0.672748;0.673516
1.19;0.666245;0.666982;0.669129;0.669887
1.2;0.662627;0.663355;0.665516;0.666264
1.21;0.659016;0.659733;0.661909;0.662647
1.22;0.655411;0.656118;0.658308;0.659035
1.23;0.651812;0.652509;0.654713;0.65543
1.24;0.648221;0.648907;0.651125;0.651831
1.25;0.644636;0.645312;0.647543;0.648239
1.26;0.641058;0.641723;0.643968;0.644654
1.27;0.637488;0.638143;0.640401;0.641076
1.28;0.633925;0.63457;0.636841;0.637506
1.29;0.63037;0.631004;0.633288;0.633943
1.3;0.626823;0.627447;0.629744;0.630388
1.31;0.623284;0.623898;0.626207;0.626841
1.32;0.619754;0.620357;0.622678;0.623302
1.33;0.616232;0.616825;0.619158;0.619771
1.34;0.612719;0.613301;0.615646;0.616249
1.35;0.609215;0.609787;0.612143;0.612736
1.36;0.605719;0.606281;0.608649;0.609231
1.37;0.602233;0.602785;0.605164;0.605736
1.38;0.598757;0.599298;0.601688;0.60225
1.39;0.59529;0.595821;0.598222;0.598773
1.4;0.591833;0.592354;0.594765;0.595306
1.41;0.588385;0.588896;0.591318;0.591849
1.42;0.584948;0.585449;0.587881;0.588401
1.43;0.581521;0.582011;0.584453;0.584964
1.44;0.578104;0.578584;0.581036;0.581536
1.45;0.574697;0.575168;0.577629;0.578119
1.46;0.571301;0.571762;0.574232;0.574713
1.47;0.567916;0.568366;0.570846;0.571316
1.48;0.564541;0.564982;0.567471;0.567931
1.49;0.561178;0.561609;0.564106;0.564556
1.5;0.557825;0.558246;0.560752;0.561193
1.51;0.554484;0.554895;0.557409;0.55784
1.52;0.551154;0.551555;0.554078;0.554499
1.53;0.547835;0.548227;0.550757;0.551168
1.54;0.544528;0.54491;0.547448;0.547849
1.55;0.541232;0.541605;0.544151;0.544542
1.56;0.537948;0.538311;0.540864;0.541246
1.57;0.534676;0.535029;0.53759;0.537962
1.58;0.531416;0.531759;0.534327;0.53469
1.59;0.528167;0.528502;0.531076;0.531429
1.6;0.524931;0.525256;0.527837;0.528181
1.61;0.521707;0.522022;0.52461;0.524944
1.62;0.518495;0.518801;0.521395;0.52172
1.63;0.515295;0.515592;0.518192;0.518508
1.64;0.512107;0.512395;0.515001;0.515308
1.65;0.508932;0.509211;0.511823;0.51212
1.66;0.50577;0.506039;0.508657;0.508945
1.67;0.50262;0.50288;0.505503;0.505782
1.68;0.499482;0.499734;0.502362;0.502632
1.69;0.496358;0.496601;0.499233;0.499495
1.7;0.493246;0.49348;0.496117;0.49637
1.71;0.490146;0.490372;0.493014;0.493258
1.72;0.48706;0.487277;0.489923;0.490158
1.73;0.483986;0.484195;0.486846;0.487072
1.74;0.480926;0.481125;0.483781;0.483998
1.75;0.477878;0.478069;0.480728;0.480938
1.76;0.474844;0.475026;0.477689;0.47789
1.77;0.471822;0.471997;0.474663;0.474855
1.78;0.468814;0.46898;0.47165;0.471834
1.79;0.465819;0.465977;0.46865;0.468825
1.8;0.462837;0.462986;0.465663;0.46583
1.81;0.459868;0.46001;0.462689;0.462848
1.82;0.456913;0.457046;0.459728;0.459879
1.83;0.45397;0.454096;0.456781;0.456923
1.84;0.451041;0.451159;0.453846;0.453981
1.85;0.448126;0.448236;0.450925;0.451052
1.86;0.445224;0.445326;0.448017;0.448136
1.87;0.442335;0.442429;0.445123;0.445234
1.88;0.43946;0.439546;0.442242;0.442345
1.89;0.436598;0.436676;0.439374;0.43947
1.9;0.433749;0.43382;0.436519;0.436608
1.91;0.430914;0.430978;0.433678;0.433759
1.92;0.428092;0.428149;0.430851;0.430924
1.93;0.425284;0.425333;0.428036;0.428102
1.94;0.42249;0.422532;0.425235;0.425294
1.95;0.419709;0.419743;0.422448;0.422499
1.96;0.416941;0.416969;0.419674;0.419718
1.97;0.414187;0.414208;0.416913;0.41695
1.98;0.411446;0.41146;0.414166;0.414196
1.99;0.408719;0.408726;0.411433;0.411456
2;0.406006;0.406006;0.408713;0.408728
2.01;0.403306;0.403299;0.406006;0.406015
2.02;0.40062;0.400606;0.403313;0.403315
2.03;0.397947;0.397927;0.400633;0.400628
2.04;0.395287;0.395261;0.397967;0.397955
2.05;0.392641;0.392608;0.395314;0.395296
2.06;0.390009;0.38997;0.392674;0.39265
2.07;0.38739;0.387344;0.390048;0.390018
2.08;0.384785;0.384733;0.387436;0.387399
2.09;0.382193;0.382135;0.384837;0.384793
2.1;0.379615;0.37955;0.382251;0.382201
2.11;0.37705;0.376979;0.379679;0.379623
2.12;0.374499;0.374422;0.37712;0.377058
2.13;0.371961;0.371878;0.374575;0.374507
2.14;0.369436;0.369348;0.372043;0.371969
2.15;0.366925;0.366831;0.369524;0.369444
2.16;0.364427;0.364327;0.367019;0.366933
2.17;0.361943;0.361837;0.364527;0.364435
2.18;0.359472;0.359361;0.362048;0.361951
2.19;0.357014;0.356897;0.359582;0.35948
2.2;0.35457;0.354448;0.35713;0.357022
2.21;0.352139;0.352011;0.354691;0.354577
2.22;0.349721;0.349588;0.352266;0.352146
2.23;0.347317;0.347178;0.349853;0.349729
2.24;0.344926;0.344782;0.347454;0.347324
2.25;0.342547;0.342399;0.345068;0.344933
2.26;0.340183;0.340029;0.342695;0.342554
2.27;0.337831;0.337672;0.340335;0.34019
2.28;0.335492;0.335328;0.337988;0.337838
2.29;0.333167;0.332998;0.335655;0.335499
2.3;0.330854;0.33068;0.333334;0.333173
2.31;0.328555;0.328376;0.331026;0.330861
2.32;0.326268;0.326085;0.328732;0.328561
2.33;0.323995;0.323807;0.32645;0.326275
2.34;0.321734;0.321542;0.324181;0.324001
2.35;0.319487;0.31929;0.321925;0.321741
2.36;0.317252;0.317051;0.319682;0.319493
2.37;0.31503;0.314824;0.317452;0.317258
2.38;0.312821;0.312611;0.315234;0.315036
2.39;0.310625;0.31041;0.313029;0.312827
2.4;0.308441;0.308222;0.310837;0.310631
2.41;0.30627;0.306047;0.308658;0.308447
2.42;0.304112;0.303885;0.306491;0.306276
2.43;0.301966;0.301735;0.304337;0.304118
2.44;0.299833;0.299598;0.302195;0.301972
2.45;0.297713;0.297474;0.300066;0.299839
2.46;0.295605;0.295362;0.29795;0.297719
2.47;0.293509;0.293263;0.295846;0.295611
2.48;0.291426;0.291176;0.293754;0.293515
2.49;0.289356;0.289102;0.291675;0.291432
2.5;0.287297;0.28704;0.289608;0.289361
2.51;0.285252;0.28499;0.287553;0.287303
2.52;0.283218;0.282953;0.285511;0.285257
2.53;0.281196;0.280928;0.28348;0.283223
2.54;0.279187;0.278916;0.281462;0.281202
2.55;0.27719;0.276915;0.279456;0.279192
2.56;0.275205;0.274927;0.277463;0.277195
2.57;0.273232;0.27295;0.275481;0.27521
2.58;0.271271;0.270986;0.273511;0.273237
2.59;0.269322;0.269034;0.271553;0.271276
2.6;0.267385;0.267094;0.269607;0.269327
2.61;0.26546;0.265166;0.267673;0.26739
2.62;0.263546;0.26325;0.265751;0.265464
2.63;0.261645;0.261345;0.263841;0.263551
2.64;0.259755;0.259452;0.261942;0.26165
2.65;0.257877;0.257571;0.260055;0.25976
2.66;0.25601;0.255702;0.25818;0.257882
2.67;0.254156;0.253845;0.256316;0.256015
2.68;0.252312;0.251999;0.254464;0.25416
2.69;0.250481;0.250164;0.252624;0.252317
2.7;0.24866;0.248342;0.250794;0.250485
2.71;0.246852;0.24653;0.248977;0.248665
2.72;0.245054;0.24473;0.24717;0.246856
2.73;0.243268;0.242942;0.245375;0.245058
2.74;0.241493;0.241165;0.243592;0.243272
2.75;0.239729;0.239399;0.241819;0.241497
2.76;0.237977;0.237644;0.240058;0.239734
2.77;0.236236;0.2359;0.238308;0.237981
2.78;0.234506;0.234168;0.236569;0.23624
2.79;0.232786;0.232447;0.234841;0.23451
2.8;0.231078;0.230736;0.233124;0.23279
2.81;0.229381;0.229037;0.231418;0.231082
2.82;0.227695;0.227349;0.229722;0.229385
2.83;0.226019;0.225671;0.228038;0.227699
2.84;0.224355;0.224005;0.226365;0.226023
2.85;0.222701;0.222349;0.224702;0.224358
2.86;0.221057;0.220704;0.22305;0.222704
2.87;0.219425;0.21907;0.221408;0.221061
2.88;0.217803;0.217446;0.219778;0.219428
2.89;0.216191;0.215833;0.218157;0.217806
2.9;0.214591;0.21423;0.216548;0.216195
2.91;0.213;0.212638;0.214948;0.214594
2.92;0.21142;0.211057;0.213359;0.213004
2.93;0.20985;0.209485;0.211781;0.211423
2.94;0.208291;0.207924;0.210213;0.209854
2.95;0.206742;0.206374;0.208655;0.208294
2.96;0.205203;0.204834;0.207107;0.206745
2.97;0.203674;0.203303;0.20557;0.205206
2.98;0.202155;0.201783;0.204042;0.203677
2.99;0.200647;0.200273;0.202525;0.202159
3;0.199148;0.198774;0.201018;0.20065
3.01;0.19766;0.197284;0.19952;0.199151
3.02;0.196181;0.195804;0.198033;0.197663
3.03;0.194712;0.194334;0.196555;0.196184
3.04;0.193253;0.192874;0.195088;0.194715
3.05;0.191804;0.191423;0.19363;0.193256
3.06;0.190364;0.189983;0.192182;0.191807
3.07;0.188934;0.188552;0.190743;0.190367
3.08;0.187514;0.18713;0.189314;0.188937
3.09;0.186103;0.185719;0.187895;0.187517
3.1;0.184702;0.184316;0.186485;0.186106
3.11;0.18331;0.182924;0.185085;0.184705
3.12;0.181928;0.181541;0.183694;0.183313
3.13;0.180555;0.180167;0.182312;0.18193
3.14;0.179191;0.178802;0.18094;0.180557
3.15;0.177836;0.177447;0.179577;0.179193
3.16;0.176491;0.176101;0.178223;0.177839
3.17;0.175155;0.174764;0.176879;0.176494
3.18;0.173828;0.173437;0.175543;0.175158
3.19;0.17251;0.172118;0.174217;0.173831
3.2;0.171201;0.170809;0.1729;0.172513
3.21;0.169901;0.169508;0.171591;0.171204
3.22;0.16861;0.168217;0.170292;0.169904
3.23;0.167328;0.166934;0.169002;0.168613
3.24;0.166055;0.16566;0.16772;0.167331
3.25;0.16479;0.164395;0.166447;0.166057
3.26;0.163535;0.163139;0.165183;0.164793
3.27;0.162287;0.161892;0.163928;0.163537
3.28;0.161049;0.160653;0.162681;0.16229
3.29;0.159819;0.159423;0.161443;0.161051
3.3;0.158598;0.158201;0.160213;0.159821
3.31;0.157385;0.156988;0.158992;0.1586
3.32;0.15618;0.155783;0.157779;0.157387
3.33;0.154984;0.154587;0.156575;0.156182
3.34;0.153796;0.153399;0.155379;0.154986
3.35;0.152617;0.152219;0.154192;0.153798
3.36;0.151446;0.151048;0.153013;0.152619
3.37;0.150283;0.149885;0.151841;0.151448
3.38;0.149128;0.14873;0.150679;0.150285
3.39;0.147981;0.147583;0.149524;0.14913
3.4;0.146842;0.146444;0.148377;0.147983
3.41;0.145712;0.145313;0.147238;0.146844
3.42;0.144589;0.144191;0.146108;0.145714
3.43;0.143474;0.143076;0.144985;0.144591
3.44;0.142367;0.141969;0.14387;0.143476
3.45;0.141268;0.14087;0.142763;0.142369
3.46;0.140177;0.139779;0.141664;0.14127
3.47;0.139093;0.138695;0.140573;0.140179
3.48;0.138017;0.13762;0.139489;0.139095
3.49;0.136949;0.136551;0.138413;0.138019
3.5;0.135888;0.135491;0.137344;0.136951
3.51;0.134835;0.134438;0.136284;0.13589
3.52;0.133789;0.133393;0.13523;0.134837
3.53;0.132751;0.132355;0.134184;0.133791
3.54;0.131721;0.131324;0.133146;0.132753
3.55;0.130697;0.130301;0.132115;0.131722
3.56;0.129681;0.129285;0.131091;0.130699
3.57;0.128672;0.128277;0.130075;0.129683
3.58;0.127671;0.127276;0.129066;0.128674
3.59;0.126676;0.126282;0.128064;0.127672
3.6;0.125689;0.125295;0.127069;0.126678
3.61;0.124709;0.124315;0.126082;0.125691
3.62;0.123736;0.123342;0.125101;0.124711
3.63;0.12277;0.122377;0.124128;0.123737
3.64;0.121811;0.121418;0.123161;0.122771
3.65;0.120859;0.120467;0.122202;0.121812
3.66;0.119914;0.119522;0.121249;0.12086
3.67;0.118975;0.118584;0.120303;0.119915
3.68;0.118044;0.117653;0.119365;0.118977
3.69;0.117119;0.116729;0.118433;0.118045
3.7;0.116201;0.115811;0.117507;0.11712
3.71;0.115289;0.1149;0.116589;0.116202
3.72;0.114384;0.113996;0.115677;0.11529
3.73;0.113486;0.113098;0.114771;0.114386
3.74;0.112594;0.112207;0.113872;0.113487
3.75;0.111709;0.111323;0.11298;0.112596
3.76;0.110831;0.110445;0.112094;0.111711
3.77;0.109958;0.109573;0.111215;0.110832
3.78;0.109092;0.108708;0.110342;0.10996
3.79;0.108233;0.107849;0.109476;0.109094
3.8;0.10738;0.106996;0.108615;0.108234
3.81;0.106533;0.10615;0.107761;0.107381
3.82;0.105692;0.10531;0.106914;0.106534
3.83;0.104857;0.104476;0.106072;0.105693
3.84;0.104029;0.103649;0.105237;0.104859
3.85;0.103207;0.102827;0.104408;0.10403
3.86;0.10239;0.102012;0.103585;0.103208
3.87;0.10158;0.101202;0.102768;0.102392
3.88;0.100776;0.100399;0.101957;0.101581
3.89;0.0999777;0.0996013;0.101152;0.100777
3.9;0.0991854;0.0988097;0.100353;0.0999788
3.91;0.0983989;0.098024;0.0995597;0.0991864
3.92;0.0976182;0.0972442;0.0987723;0.0983999
3.93;0.0968433;0.0964702;0.0979908;0.0976192
3.94;0.0960742;0.0957019;0.0972151;0.0968443
3.95;0.0953108;0.0949393;0.0964452;0.0960752
3.96;0.094553;0.0941825;0.0956809;0.0953118
3.97;0.093801;0.0934313;0.0949223;0.094554
3.98;0.0930545;0.0926857;0.0941693;0.0938019
3.99;0.0923136;0.0919457;0.093422;0.0930554
4;0.0915782;0.0912113;0.0926802;0.0923145
4.01;0.0908483;0.0904823;0.0919439;0.0915791
4.02;0.0901239;0.0897588;0.0912131;0.0908492
4.03;0.0894049;0.0890408;0.0904878;0.0901248
4.04;0.0886913;0.0883281;0.0897678;0.0894058
4.05;0.087983;0.0876208;0.0890533;0.0886921
4.06;0.08728;0.0869188;0.088344;0.0879838
4.07;0.0865824;0.0862221;0.0876401;0.0872809
4.08;0.0858899;0.0855307;0.0869415;0.0865832
4.09;0.0852027;0.0848444;0.0862481;0.0858907
4.1;0.0845206;0.0841634;0.0855599;0.0852035
4.11;0.0838437;0.0834875;0.0848768;0.0845214
4.12;0.0831719;0.0828167;0.0841989;0.0838445
4.13;0.0825052;0.082151;0.0835261;0.0831727
4.14;0.0818435;0.0814903;0.0828584;0.0825059
4.15;0.0811867;0.0808346;0.0821956;0.0818442
4.16;0.080535;0.0801839;0.0815379;0.0811875
4.17;0.0798882;0.0795381;0.0808851;0.0805357
4.18;0.0792463;0.0788973;0.0802373;0.0798889
4.19;0.0786092;0.0782613;0.0795943;0.079247
4.2;0.077977;0.0776301;0.0789562;0.0786099
4.21;0.0773496;0.0770038;0.0783229;0.0779777
4.22;0.0767269;0.0763822;0.0776945;0.0773503
4.23;0.076109;0.0757654;0.0770707;0.0767276
4.24;0.0754958;0.0751533;0.0764517;0.0761097
4.25;0.0748872;0.0745458;0.0758374;0.0754964
4.26;0.0742833;0.073943;0.0752278;0.0748879
4.27;0.073684;0.0733448;0.0746228;0.074284
4.28;0.0730893;0.0727511;0.0740224;0.0736846
4.29;0.0724991;0.0721621;0.0734266;0.0730899
4.3;0.0719134;0.0715775;0.0728353;0.0724997
4.31;0.0713321;0.0709974;0.0722485;0.071914
4.32;0.0707554;0.0704218;0.0716661;0.0713327
4.33;0.070183;0.0698505;0.0710882;0.070756
4.34;0.0696151;0.0692837;0.0705148;0.0701836
4.35;0.0690514;0.0687212;0.0699457;0.0696156
4.36;0.0684922;0.0681631;0.0693809;0.069052
4.37;0.0679372;0.0676092;0.0688205;0.0684927
4.38;0.0673864;0.0670597;0.0682644;0.0679377
4.39;0.0668399;0.0665143;0.0677125;0.067387
4.4;0.0662976;0.0659732;0.0671649;0.0668405
4.41;0.0657595;0.0654362;0.0666214;0.0662982
4.42;0.0652255;0.0649034;0.0660822;0.06576
4.43;0.0646957;0.0643747;0.065547;0.065226
4.44;0.0641699;0.0638501;0.065016;0.0646962
4.45;0.0636482;0.0633296;0.0644891;0.0641704
4.46;0.0631305;0.0628131;0.0639662;0.0636487
4.47;0.0626168;0.0623006;0.0634474;0.063131
4.48;0.0621071;0.061792;0.0629325;0.0626173
4.49;0.0616013;0.0612874;0.0624216;0.0621076
4.5;0.0610995;0.0607868;0.0619147;0.0616018
4.51;0.0606015;0.06029;0.0614117;0.0610999
4.52;0.0601074;0.0597971;0.0609125;0.060602
4.53;0.0596171;0.059308;0.0604172;0.0601078
4.54;0.0591307;0.0588227;0.0599258;0.0596176
4.55;0.058648;0.0583412;0.0594381;0.0591311
4.56;0.058169;0.0578635;0.0589543;0.0586484
4.57;0.0576938;0.0573895;0.0584741;0.0581695
4.58;0.0572223;0.0569192;0.0579978;0.0576942
4.59;0.0567545;0.0564525;0.057525;0.0572227
4.6;0.0562903;0.0559895;0.057056;0.0567549
4.61;0.0558297;0.0555302;0.0565906;0.0562907
4.62;0.0553727;0.0550744;0.0561289;0.0558301
4.63;0.0549193;0.0546222;0.0556707;0.0553731
4.64;0.0544694;0.0541735;0.0552161;0.0549197
4.65;0.0540231;0.0537283;0.054765;0.0544698
4.66;0.0535802;0.0532867;0.0543174;0.0540234
4.67;0.0531408;0.0528485;0.0538734;0.0535805
4.68;0.0527048;0.0524137;0.0534328;0.0531411
4.69;0.0522722;0.0519823;0.0529956;0.0527051
4.7;0.0518431;0.0515544;0.0525618;0.0522726
4.71;0.0514173;0.0511298;0.0521315;0.0518434
4.72;0.0509948;0.0507085;0.0517045;0.0514176
4.73;0.0505757;0.0502906;0.0512808;0.0509951
4.74;0.0501598;0.049876;0.0508605;0.050576
4.75;0.0497472;0.0494646;0.0504434;0.0501601
4.76;0.0493379;0.0490565;0.0500297;0.0497476
4.77;0.0489318;0.0486516;0.0496191;0.0493382
4.78;0.0485289;0.0482498;0.0492118;0.0489321
4.79;0.0481291;0.0478513;0.0488077;0.0485292
4.8;0.0477325;0.0474559;0.0484068;0.0481294
4.81;0.0473391;0.0470637;0.048009;0.0477328
4.82;0.0469487;0.0466745;0.0476143;0.0473393
4.83;0.0465614;0.0462884;0.0472227;0.046949
4.84;0.0461772;0.0459054;0.0468343;0.0465617
4.85;0.045796;0.0455254;0.0464488;0.0461775
4.86;0.0454178;0.0451485;0.0460665;0.0457963
4.87;0.0450427;0.0447745;0.0456871;0.0454181
4.88;0.0446704;0.0444035;0.0453107;0.0450429
4.89;0.0443012;0.0440354;0.0449373;0.0446707
4.9;0.0439348;0.0436703;0.0445669;0.0443014
4.91;0.0435714;0.043308;0.0441993;0.0439351
4.92;0.0432109;0.0429487;0.0438347;0.0435716
4.93;0.0428532;0.0425922;0.043473;0.0432111
4.94;0.0424983;0.0422385;0.0431141;0.0428534
4.95;0.0421463;0.0418877;0.0427581;0.0424985
4.96;0.041797;0.0415396;0.0424048;0.0421465
4.97;0.0414506;0.0411944;0.0420544;0.0417973
4.98;0.0411069;0.0408519;0.0417068;0.0414508
4.99;0.0407659;0.0405121;0.0413619;0.0411071
5;0.0404277;0.040175;0.0410198;0.0407661
5.01;0.0400921;0.0398406;0.0406804;0.0404279
5.02;0.0397593;0.0395089;0.0403436;0.0400923
5.03;0.039429;0.0391799;0.0400096;0.0397594
5.04;0.0391014;0.0388535;0.0396782;0.0394292
5.05;0.0387765;0.0385297;0.0393494;0.0391016
5.06;0.0384541;0.0382085;0.0390233;0.0387766
5.07;0.0381343;0.0378899;0.0386997;0.0384543
5.08;0.037817;0.0375738;0.0383788;0.0381345
5.09;0.0375023;0.0372602;0.0380604;0.0378172
5.1;0.0371902;0.0369492;0.0377445;0.0375025
5.11;0.0368805;0.0366407;0.0374312;0.0371903
5.12;0.0365733;0.0363347;0.0371203;0.0368806
5.13;0.0362685;0.0360311;0.036812;0.0365734
5.14;0.0359662;0.0357299;0.0365061;0.0362687
5.15;0.0356663;0.0354312;0.0362026;0.0359664
5.16;0.0353689;0.0351349;0.0359016;0.0356665
5.17;0.0350738;0.0348409;0.035603;0.035369
5.18;0.0347811;0.0345494;0.0353068;0.0350739
5.19;0.0344907;0.0342602;0.0350129;0.0347812
5.2;0.0342027;0.0339733;0.0347214;0.0344909
5.21;0.033917;0.0336887;0.0344323;0.0342028
5.22;0.0336336;0.0334065;0.0341454;0.0339171
5.23;0.0333525;0.0331265;0.0338609;0.0336337
5.24;0.0330736;0.0328487;0.0335786;0.0333526
5.25;0.032797;0.0325732;0.0332987;0.0330737
5.26;0.0325226;0.0323;0.0330209;0.0327971
5.27;0.0322504;0.0320289;0.0327454;0.0325227
5.28;0.0319805;0.0317601;0.0324721;0.0322506
5.29;0.0317127;0.0314934;0.032201;0.0319806
5.3;0.031447;0.0312289;0.0319321;0.0317128
5.31;0.0311836;0.0309665;0.0316654;0.0314471
5.32;0.0309222;0.0307063;0.0314008;0.0311837
5.33;0.030663;0.0304481;0.0311384;0.0309223
5.34;0.0304058;0.0301921;0.030878;0.0306631
5.35;0.0301508;0.0299381;0.0306198;0.0304059
5.36;0.0298978;0.0296862;0.0303636;0.0301509
5.37;0.0296468;0.0294364;0.0301095;0.0298979
5.38;0.0293979;0.0291886;0.0298575;0.0296469
5.39;0.029151;0.0289428;0.0296075;0.029398
5.4;0.0289061;0.0286989;0.0293595;0.0291511
5.41;0.0286632;0.0284571;0.0291136;0.0289062
5.42;0.0284223;0.0282173;0.0288696;0.0286633
5.43;0.0281833;0.0279794;0.0286276;0.0284224
5.44;0.0279463;0.0277434;0.0283875;0.0281834
5.45;0.0277112;0.0275094;0.0281494;0.0279463
5.46;0.027478;0.0272772;0.0279133;0.0277112
5.47;0.0272467;0.027047;0.027679;0.027478
5.48;0.0270173;0.0268186;0.0274467;0.0272467
5.49;0.0267897;0.0265921;0.0272162;0.0270173
5.5;0.026564;0.0263675;0.0269876;0.0267898
5.51;0.0263402;0.0261447;0.0267609;0.0265641
5.52;0.0261181;0.0259237;0.026536;0.0263402
5.53;0.0258979;0.0257045;0.0263129;0.0261182
5.54;0.0256795;0.0254871;0.0260916;0.025898
5.55;0.0254628;0.0252715;0.0258722;0.0256795
5.56;0.025248;0.0250577;0.0256545;0.0254629
